scheme,bucket,scope,games,correct_predictions,accuracy,expected_accuracy,calibration_error,accuracy_ci_low,accuracy_ci_high,confidence_correctness_auc,confidence_error_spearman,calibration_intercept,calibration_slope,threshold,measure
cumulative_absolute_run_difference,>=1.0,combined,1007,656,0.6514399205561072,0.6243034743145572,0.027136446241549983,0.6216484607745779,0.6812313803376365,0.48378326731985266,-0.02676888008963607,0.9731009427124064,-0.6789129153523343,1.0,absolute_run_difference
cumulative_absolute_run_difference,>=1.0,2022,256,162,0.6328125,0.6209499459746071,0.011862554025392935,0.5703125,0.69140625,0.45449172576832153,-0.07599163202484012,1.2710868253364012,-1.4634106450851327,1.0,absolute_run_difference
cumulative_absolute_run_difference,>=1.0,2023,302,202,0.6688741721854304,0.6241306682025269,0.0447435039829035,0.6158940397350994,0.7218543046357616,0.5286138613861386,0.04664855706464065,0.1474335950778718,1.0988474155005026,1.0,absolute_run_difference
cumulative_absolute_run_difference,>=1.0,2024,222,147,0.6621621621621622,0.6275311646254347,0.03463099753672749,0.5990990990990991,0.7252252252252253,0.4957823129251701,-0.006910440126036079,1.2854537200238372,-1.1600798053683414,1.0,absolute_run_difference
cumulative_absolute_run_difference,>=1.0,2025,227,145,0.6387665198237885,0.6251587318116748,0.013607788012113708,0.5770925110132159,0.7004405286343612,0.43633305298570224,-0.10594340626321613,1.4641243733678433,-1.7249696649664326,1.0,absolute_run_difference
cumulative_absolute_run_difference,>=1.5,combined,206,124,0.6019417475728155,0.6694405648999462,-0.0674988173271307,0.5339805825242718,0.6699029126213593,0.4383359559402045,-0.10456306182894254,0.908251987081256,-0.6948902543474771,1.5,absolute_run_difference
cumulative_absolute_run_difference,>=1.5,2022,37,19,0.5135135135135135,0.6654073792672038,-0.15189386575369035,0.35135135135135137,0.6756756756756757,0.5292397660818713,0.05064476045523032,-0.47988125627653283,0.7749651435263842,1.5,absolute_run_difference
cumulative_absolute_run_difference,>=1.5,2023,61,47,0.7704918032786885,0.6707695491884622,0.09972225409022628,0.6557377049180327,0.8688524590163934,0.5045592705167172,0.006642437259201303,1.0444349875640384,0.23250353529083678,1.5,absolute_run_difference
cumulative_absolute_run_difference,>=1.5,2024,54,32,0.5925925925925926,0.6685148082817862,-0.07592221568919366,0.46296296296296297,0.7222222222222222,0.31249999999999994,-0.31919710595935885,2.231026943539786,-2.6235532870305383,1.5,absolute_run_difference
cumulative_absolute_run_difference,>=1.5,2025,54,26,0.48148148148148145,0.6716285405331427,-0.19014705905166124,0.35185185185185186,0.6111111111111112,0.44368131868131866,-0.09749660891985817,0.06464713426565226,-0.1928142413098535,1.5,absolute_run_difference
cumulative_absolute_run_difference,>=2.0,combined,49,25,0.5102040816326531,0.7141479936325325,-0.20394391199987938,0.3673469387755102,0.6530612244897959,0.5883333333333334,0.1529978213352508,-1.8986922551569059,2.1088262480672184,2.0,absolute_run_difference
cumulative_absolute_run_difference,>=2.0,2022,4,2,0.5,0.7103968403894299,-0.21039684038942985,0.0,1.0,0.75,0.4472135954999579,,,2.0,absolute_run_difference
cumulative_absolute_run_difference,>=2.0,2023,17,12,0.7058823529411765,0.7167815366293848,-0.010899183688208303,0.47058823529411764,0.8823529411764706,0.6666666666666667,0.26352313834736496,,,2.0,absolute_run_difference
cumulative_absolute_run_difference,>=2.0,2024,15,5,0.3333333333333333,0.7072316173294474,-0.3738982839961141,0.13333333333333333,0.6,0.42000000000000004,-0.13093073414159542,,,2.0,absolute_run_difference
cumulative_absolute_run_difference,>=2.0,2025,13,6,0.46153846153846156,0.7198387649073174,-0.2583003033688558,0.23076923076923078,0.7692307692307693,0.5714285714285714,0.12371791482634838,,,2.0,absolute_run_difference
